recipient_id,recipient_name,reply_turns,share
u_kEQS7U_iWIe8cbATwFZBBg,DDjian,1,0.001852
u_tLkudw65BGnuva2o8-Eulg,Kitorin,1,0.001852
u_gCToc-vBFwPD3VX0VWwd1w,浙江的网友,1,0.001852
u_wPmiKPDvajZb9DNhd0_qOQ,蜗牛,1,0.001852
u_63XZS7sZhlBMR4Oc3XEifg,冰清玉洁长歌儿,1,0.001852
u_VKCzLOOPnTF1iPoNhVRPGg,不思烤（已非㊗️）,1,0.001852
u_cFXhxryCPboRDadf3mdWrw,HT-9420,1,0.001852
u_ewR1uuAubtcknJdwsg5Dww,浊心若叶睦,1,0.001852
u_lWiWWLIe_svB9EaCvIFg5Q,长蓝花影,1,0.001852
u_287Ke2dYy3NjTtwt2OB73g,IKUN,1,0.001852
u_VCUY_jkSeKIvGUFzCkK2MQ,库巴亚西,1,0.001852
u_g3q1xpA4IT3hxt7UthOpPQ,汐見蛍,1,0.001852
u_BDI0d-2vSYPf6nJbyhHRvg,宁雨久停峰,1,0.001852
u_BDQTL_4_K-LSeuoQECeUPg,你已被移出群聊,1,0.001852
u_vnB2XonJnI2ornTpKEiG7g,桜小路露娜,1,0.001852
u_d3O41hEXJxAgjfJdmycayQ,雨,1,0.001852
u_SsSK_4SMoB6L6sfFoQC_cQ,怜锦瑟ฅ*,1,0.001852
u_UFW_QSfiSlI8k1ko4wh42g,小维258,1,0.001852
u_ey5DVPuzf5tBqdShurEJpQ,🈶man贵将,1,0.001852
